cohort,language,number_prs,actor.display_login
2017-09,OpenSCAD,22.0,14.0
2017-10,OpenSCAD,39.0,21.0
2017-11,OpenSCAD,30.0,20.0
2017-07,Ox,1.0,1.0
2017-07,Oz,1.0,1.0
2017-11,Oz,1.0,1.0
2017-07,P4,28.0,6.0
2017-08,P4,45.0,9.0
2017-09,P4,49.0,10.0
2017-10,P4,39.0,11.0
2017-11,P4,98.0,13.0
2017-07,PAWN,13.0,5.0
2017-08,PAWN,18.0,6.0
2017-09,PAWN,9.0,5.0
2017-10,PAWN,5.0,5.0
2017-11,PAWN,3.0,2.0
2017-07,PHP,45022.0,9842.0
2017-08,PHP,45936.0,10111.0
2017-09,PHP,47564.0,10257.0
2017-10,PHP,56123.0,11920.0
2017-11,PHP,53432.0,11340.0
2017-07,PLSQL,302.0,61.0
2017-08,PLSQL,205.0,51.0
2017-09,PLSQL,245.0,64.0
2017-10,PLSQL,305.0,80.0
2017-11,PLSQL,316.0,106.0
2017-07,PLpgSQL,545.0,130.0
2017-08,PLpgSQL,766.0,172.0
2017-09,PLpgSQL,759.0,137.0
2017-10,PLpgSQL,733.0,186.0
2017-11,PLpgSQL,647.0,183.0
2017-07,POV-Ray SDL,6.0,3.0
2017-08,POV-Ray SDL,11.0,8.0
2017-09,POV-Ray SDL,16.0,8.0
2017-10,POV-Ray SDL,26.0,10.0
2017-11,POV-Ray SDL,1.0,1.0
2017-07,Pan,8.0,2.0
2017-08,Pan,3.0,2.0
2017-09,Pan,5.0,3.0
2017-10,Pan,3.0,2.0
2017-11,Pan,5.0,4.0
2017-07,Papyrus,3.0,3.0
2017-08,Papyrus,1.0,1.0
2017-09,Papyrus,2.0,2.0
2017-10,Papyrus,5.0,3.0
2017-11,Papyrus,3.0,1.0
2017-07,Parrot,20.0,1.0
2017-08,Parrot,2.0,1.0
2017-10,Parrot,2.0,1.0
2017-11,Parrot,4.0,1.0
2017-07,Pascal,210.0,85.0
2017-08,Pascal,227.0,100.0
2017-09,Pascal,174.0,78.0
2017-10,Pascal,282.0,103.0
2017-11,Pascal,274.0,103.0
2017-09,Pep8,2.0,1.0
2017-07,Perl,2444.0,755.0
2017-08,Perl,2471.0,725.0
2017-09,Perl,2347.0,720.0
2017-10,Perl,2934.0,795.0
2017-11,Perl,2631.0,761.0
2017-07,Perl 6,41.0,16.0
2017-08,Perl 6,171.0,50.0
2017-09,Perl 6,219.0,50.0
2017-10,Perl 6,214.0,59.0
2017-11,Perl 6,154.0,49.0
2017-07,Perl6,140.0,55.0
2017-08,Perl6,36.0,29.0
2017-09,Perl6,23.0,20.0
2017-10,Perl6,24.0,20.0
2017-11,Perl6,12.0,12.0
2017-07,PicoLisp,2.0,1.0
2017-08,PicoLisp,1.0,1.0
2017-10,PicoLisp,1.0,1.0
2017-11,PicoLisp,2.0,2.0
2017-10,PigLatin,3.0,2.0
2017-07,Pony,19.0,9.0
2017-08,Pony,19.0,7.0
2017-09,Pony,102.0,11.0
2017-10,Pony,38.0,11.0
2017-11,Pony,38.0,7.0
2017-07,PostScript,191.0,54.0
2017-08,PostScript,223.0,45.0
2017-09,PostScript,173.0,38.0
2017-10,PostScript,205.0,58.0
2017-11,PostScript,218.0,58.0
2017-07,PowerBuilder,71.0,2.0
2017-08,PowerBuilder,65.0,2.0
2017-09,PowerBuilder,6.0,1.0
2017-07,PowerShell,8344.0,612.0
2017-08,PowerShell,7568.0,700.0
2017-09,PowerShell,6237.0,721.0
2017-10,PowerShell,6621.0,818.0
2017-11,PowerShell,8641.0,812.0
2017-07,Processing,189.0,66.0
2017-08,Processing,156.0,33.0
2017-09,Processing,149.0,58.0
2017-10,Processing,243.0,74.0
2017-11,Processing,236.0,86.0
2017-07,Prolog,28.0,16.0
2017-08,Prolog,35.0,18.0
2017-09,Prolog,52.0,22.0
2017-10,Prolog,131.0,66.0
2017-11,Prolog,119.0,52.0
2017-09,Propeller Spin,10.0,1.0
2017-10,Propeller Spin,3.0,1.0
2017-07,Protocol Buffer,162.0,65.0
2017-08,Protocol Buffer,379.0,101.0
2017-09,Protocol Buffer,215.0,93.0
2017-10,Protocol Buffer,156.0,73.0
2017-11,Protocol Buffer,23.0,19.0
2017-07,Puppet,638.0,224.0
2017-08,Puppet,752.0,223.0
2017-09,Puppet,818.0,230.0
2017-10,Puppet,909.0,249.0
2017-11,Puppet,720.0,222.0
2017-07,Pure Data,14.0,7.0
2017-08,Pure Data,3.0,3.0
2017-09,Pure Data,21.0,6.0
2017-10,Pure Data,3.0,3.0
2017-11,Pure Data,1.0,1.0
2017-07,PureBasic,13.0,5.0
2017-08,PureBasic,11.0,2.0
2017-09,PureBasic,9.0,4.0
2017-10,PureBasic,4.0,4.0
2017-11,PureBasic,16.0,11.0
2017-07,PureScript,267.0,51.0
2017-08,PureScript,248.0,68.0
2017-09,PureScript,183.0,47.0
2017-10,PureScript,194.0,55.0
2017-11,PureScript,150.0,50.0
2017-07,Python,86787.0,19656.0
2017-08,Python,90968.0,20171.0
2017-09,Python,91937.0,20628.0
2017-10,Python,112610.0,25014.0
2017-11,Python,104963.0,23975.0
2017-07,QML,201.0,70.0
2017-08,QML,218.0,83.0
2017-09,QML,219.0,79.0
2017-10,QML,246.0,79.0
2017-11,QML,238.0,80.0
2017-07,QMake,13.0,9.0
2017-08,QMake,13.0,11.0
2017-09,QMake,7.0,5.0
2017-10,QMake,24.0,16.0
2017-11,QMake,20.0,13.0
2017-07,R,3124.0,1074.0
2017-08,R,3096.0,966.0
2017-09,R,3048.0,960.0
2017-10,R,3350.0,1145.0
2017-11,R,3154.0,1145.0
2017-07,RAML,46.0,23.0
2017-08,RAML,86.0,24.0
2017-09,RAML,56.0,32.0
2017-10,RAML,55.0,28.0
2017-11,RAML,94.0,38.0
2017-07,REALbasic,2.0,1.0
2017-11,REALbasic,2.0,2.0
2017-11,REXX,11.0,2.0
2017-07,Racket,173.0,40.0
2017-08,Racket,122.0,40.0
2017-09,Racket,173.0,44.0
2017-10,Racket,150.0,47.0
2017-11,Racket,141.0,59.0
2017-07,Ragel,2.0,2.0
2017-08,Ragel,14.0,4.0
2017-09,Ragel,12.0,3.0
2017-10,Ragel,11.0,4.0
2017-11,Ragel,1.0,1.0
2017-09,Ragel in Ruby Host,1.0,1.0
2017-07,Rascal,19.0,9.0
2017-08,Rascal,17.0,8.0
2017-09,Rascal,7.0,5.0
2017-10,Rascal,16.0,7.0
2017-11,Rascal,18.0,6.0
2017-07,Rebol,7.0,6.0
2017-08,Rebol,1.0,1.0
2017-09,Rebol,18.0,7.0
2017-10,Rebol,7.0,6.0
2017-11,Rebol,3.0,2.0
2017-07,Red,7.0,5.0
2017-08,Red,17.0,7.0
2017-09,Red,33.0,8.0
2017-10,Red,5.0,4.0
2017-11,Red,2.0,2.0
2017-07,Ren'Py,10.0,5.0
2017-08,Ren'Py,11.0,4.0
2017-09,Ren'Py,20.0,8.0
2017-10,Ren'Py,68.0,16.0
2017-11,Ren'Py,143.0,22.0
2017-08,RenderScript,2.0,2.0
2017-09,RenderScript,1.0,1.0
2017-11,RenderScript,32.0,4.0
2017-07,Ring,10.0,1.0
2017-08,Ring,32.0,1.0
2017-09,Ring,30.0,2.0
2017-10,Ring,8.0,2.0
2017-11,Ring,5.0,1.0
2017-07,RobotFramework,32.0,9.0
2017-08,RobotFramework,41.0,9.0
2017-09,RobotFramework,84.0,20.0
2017-10,RobotFramework,108.0,18.0
2017-11,RobotFramework,39.0,15.0
2017-07,Roff,400.0,112.0
2017-08,Roff,489.0,107.0
2017-09,Roff,275.0,87.0
2017-10,Roff,246.0,104.0
2017-11,Roff,275.0,115.0
2017-07,Ruby,56390.0,9561.0
2017-08,Ruby,63462.0,9856.0
2017-09,Ruby,51770.0,9104.0
2017-10,Ruby,59297.0,10359.0
2017-11,Ruby,64337.0,10097.0
2017-07,Rust,5193.0,913.0
2017-08,Rust,5184.0,930.0
2017-09,Rust,5277.0,923.0
2017-10,Rust,6157.0,1091.0
2017-11,Rust,5528.0,1021.0
2017-07,SAS,46.0,18.0
2017-08,SAS,46.0,9.0
2017-09,SAS,17.0,11.0
2017-10,SAS,31.0,12.0
2017-11,SAS,37.0,13.0
2017-07,SMT,31.0,8.0
2017-08,SMT,25.0,8.0
2017-09,SMT,68.0,7.0
2017-10,SMT,80.0,10.0
2017-11,SMT,89.0,10.0
2017-07,SQF,199.0,62.0
2017-08,SQF,206.0,59.0
2017-09,SQF,215.0,64.0
2017-10,SQF,288.0,88.0
2017-11,SQF,273.0,69.0
2017-07,SQLPL,69.0,32.0
2017-08,SQLPL,92.0,41.0
2017-09,SQLPL,132.0,40.0
2017-10,SQLPL,153.0,49.0
2017-11,SQLPL,119.0,54.0
2017-07,SRecode Template,5.0,1.0
2017-08,SRecode Template,30.0,7.0
2017-09,SRecode Template,11.0,4.0
2017-10,SRecode Template,5.0,2.0
2017-11,SRecode Template,1.0,1.0
2017-07,SaltStack,463.0,67.0
2017-08,SaltStack,423.0,94.0
2017-09,SaltStack,239.0,62.0
2017-10,SaltStack,350.0,76.0
2017-11,SaltStack,249.0,70.0
2017-07,Scala,8369.0,1610.0
2017-08,Scala,8702.0,1637.0
2017-09,Scala,8331.0,1634.0
2017-10,Scala,9196.0,1728.0
2017-11,Scala,9011.0,1715.0
2017-07,Scheme,127.0,53.0
2017-08,Scheme,138.0,56.0
2017-09,Scheme,114.0,44.0
2017-10,Scheme,131.0,62.0
2017-11,Scheme,106.0,44.0
2017-07,Scilab,20.0,3.0
2017-08,Scilab,27.0,3.0
2017-09,Scilab,28.0,6.0
2017-10,Scilab,49.0,12.0
2017-11,Scilab,95.0,18.0
2017-09,Self,1.0,1.0
2017-10,Self,1.0,1.0
2017-07,ShaderLab,33.0,13.0
2017-08,ShaderLab,19.0,13.0
2017-09,ShaderLab,23.0,12.0
2017-10,ShaderLab,29.0,15.0
2017-11,ShaderLab,96.0,28.0
2017-07,Shell,17987.0,5535.0
2017-08,Shell,18208.0,5726.0
2017-09,Shell,18144.0,5798.0
2017-10,Shell,20092.0,6632.0
2017-11,Shell,20561.0,6220.0
2017-10,Shen,64.0,2.0
2017-11,Shen,1.0,1.0
2017-07,Slash,1.0,1.0
2017-08,Slash,7.0,5.0
2017-09,Slash,7.0,3.0
2017-10,Slash,6.0,5.0
2017-11,Slash,2.0,2.0
2017-07,Smali,11.0,6.0
2017-08,Smali,16.0,10.0
2017-09,Smali,10.0,6.0
2017-10,Smali,2.0,2.0
2017-11,Smali,15.0,7.0
2017-07,Smalltalk,236.0,60.0
2017-08,Smalltalk,164.0,42.0
2017-09,Smalltalk,180.0,44.0
2017-10,Smalltalk,170.0,44.0
2017-11,Smalltalk,331.0,55.0
2017-07,Smarty,614.0,147.0
2017-08,Smarty,692.0,159.0
2017-09,Smarty,879.0,148.0
2017-10,Smarty,772.0,163.0
2017-11,Smarty,771.0,176.0
2017-07,SourcePawn,101.0,43.0
2017-08,SourcePawn,106.0,44.0
2017-09,SourcePawn,84.0,39.0
2017-10,SourcePawn,116.0,49.0
2017-11,SourcePawn,140.0,41.0
2017-07,Squirrel,10.0,2.0
2017-08,Squirrel,39.0,7.0
2017-09,Squirrel,14.0,7.0
2017-10,Squirrel,10.0,6.0
2017-11,Squirrel,19.0,4.0
2017-07,Stan,6.0,3.0
2017-08,Stan,10.0,5.0
2017-09,Stan,15.0,6.0
2017-10,Stan,14.0,7.0
2017-11,Stan,5.0,5.0
2017-07,Standard ML,120.0,29.0
2017-08,Standard ML,111.0,29.0
2017-09,Standard ML,156.0,34.0
2017-10,Standard ML,146.0,34.0
2017-11,Standard ML,138.0,39.0
2017-07,Stata,27.0,14.0
2017-08,Stata,28.0,10.0
2017-09,Stata,29.0,13.0
2017-10,Stata,34.0,19.0
2017-11,Stata,29.0,15.0
2017-07,SuperCollider,22.0,8.0
2017-08,SuperCollider,15.0,5.0
2017-09,SuperCollider,18.0,8.0
2017-10,SuperCollider,15.0,8.0
2017-11,SuperCollider,30.0,8.0
2017-07,Swift,7840.0,2035.0
2017-08,Swift,8139.0,1972.0
2017-09,Swift,7437.0,2233.0
2017-10,Swift,10383.0,2638.0
2017-11,Swift,9620.0,2439.0
2017-07,SystemVerilog,9.0,4.0
2017-08,SystemVerilog,17.0,10.0
2017-09,SystemVerilog,27.0,12.0
2017-10,SystemVerilog,47.0,18.0
2017-11,SystemVerilog,24.0,14.0
2017-10,TI Program,3.0,1.0
2017-07,TLA,1.0,1.0
2017-11,TLA,7.0,3.0
2017-11,TXL,6.0,1.0
2017-07,Tcl,200.0,50.0
2017-08,Tcl,170.0,48.0
2017-09,Tcl,199.0,49.0
2017-10,Tcl,288.0,65.0
2017-11,Tcl,233.0,70.0
2017-07,TeX,1583.0,581.0
2017-08,TeX,1576.0,571.0
2017-09,TeX,1748.0,648.0
2017-10,TeX,2538.0,848.0
2017-11,TeX,3033.0,836.0
2017-07,Terra,6.0,4.0
2017-08,Terra,6.0,3.0
2017-09,Terra,8.0,3.0
2017-10,Terra,8.0,6.0
2017-11,Terra,15.0,3.0
2017-07,Thrift,26.0,13.0
2017-08,Thrift,12.0,6.0
2017-09,Thrift,26.0,10.0
2017-10,Thrift,22.0,8.0
2017-11,Thrift,20.0,10.0
2017-09,Turing,2.0,1.0
2017-10,Turing,2.0,2.0
2017-07,TypeScript,22563.0,4145.0
2017-08,TypeScript,24809.0,4337.0
2017-09,TypeScript,25271.0,4529.0
2017-10,TypeScript,30753.0,5552.0
2017-11,TypeScript,32924.0,5891.0
2017-07,Uno,2.0,2.0
2017-08,Uno,1.0,1.0
2017-09,Uno,5.0,3.0
2017-10,Uno,2.0,2.0
2017-07,UnrealScript,8.0,3.0
2017-08,UnrealScript,13.0,6.0
2017-09,UnrealScript,29.0,8.0
2017-10,UnrealScript,34.0,10.0
2017-11,UnrealScript,35.0,13.0
2017-07,UrWeb,1.0,1.0
2017-10,VCL,17.0,4.0
2017-11,VCL,29.0,13.0
2017-07,VHDL,84.0,37.0
2017-08,VHDL,58.0,23.0
2017-09,VHDL,75.0,22.0
2017-10,VHDL,127.0,60.0
2017-11,VHDL,192.0,67.0
2017-07,Vala,331.0,51.0
2017-08,Vala,312.0,50.0
2017-09,Vala,269.0,59.0
2017-10,Vala,327.0,71.0
2017-11,Vala,318.0,57.0
2017-07,Verilog,117.0,39.0
2017-08,Verilog,45.0,27.0
2017-09,Verilog,79.0,39.0
2017-10,Verilog,199.0,75.0
2017-11,Verilog,269.0,87.0
2017-07,Vim script,980.0,353.0
2017-08,Vim script,997.0,361.0
2017-09,Vim script,914.0,343.0
2017-10,Vim script,1368.0,509.0
2017-11,Vim script,1053.0,368.0
2017-07,VimL,76.0,68.0
2017-08,VimL,72.0,64.0
2017-09,VimL,57.0,51.0
2017-10,VimL,81.0,77.0
2017-11,VimL,42.0,37.0
2017-07,Visual Basic,691.0,132.0
2017-08,Visual Basic,674.0,136.0
2017-09,Visual Basic,606.0,148.0
2017-10,Visual Basic,714.0,168.0
2017-11,Visual Basic,811.0,174.0
2017-08,Volt,1.0,1.0
2017-09,Volt,2.0,1.0
2017-10,Volt,1.0,1.0
2017-11,Volt,2.0,2.0
2017-07,Vue,2364.0,478.0
2017-08,Vue,2555.0,520.0
2017-09,Vue,2319.0,512.0
2017-10,Vue,2800.0,638.0
2017-11,Vue,3140.0,698.0
2017-07,Web Ontology Language,289.0,54.0
2017-08,Web Ontology Language,236.0,59.0
2017-09,Web Ontology Language,208.0,67.0
2017-10,Web Ontology Language,125.0,48.0
2017-11,Web Ontology Language,33.0,21.0
2017-07,WebAssembly,24.0,9.0
2017-08,WebAssembly,105.0,19.0
2017-09,WebAssembly,153.0,20.0
2017-10,WebAssembly,91.0,14.0
2017-11,WebAssembly,171.0,24.0
2017-08,WebIDL,1.0,1.0
2017-09,WebIDL,1.0,1.0
2017-10,WebIDL,1.0,1.0
2017-09,X10,1.0,1.0
2017-11,X10,1.0,1.0
2017-07,XC,66.0,12.0
2017-08,XC,19.0,8.0
2017-09,XC,56.0,13.0
2017-10,XC,58.0,13.0
2017-11,XC,50.0,8.0
2017-11,XML,2.0,2.0
2017-09,XProc,2.0,1.0
2017-10,XProc,6.0,1.0
2017-11,XProc,1.0,1.0
2017-07,XQuery,91.0,20.0
2017-08,XQuery,71.0,18.0
2017-09,XQuery,43.0,15.0
2017-10,XQuery,45.0,18.0
2017-11,XQuery,71.0,21.0
2017-07,XS,2.0,2.0
2017-11,XS,3.0,2.0
2017-07,XSLT,691.0,204.0
2017-08,XSLT,924.0,219.0
2017-09,XSLT,947.0,245.0
2017-10,XSLT,1134.0,272.0
2017-11,XSLT,892.0,228.0
2017-07,Xojo,2.0,1.0
2017-08,Xojo,1.0,1.0
2017-09,Xojo,4.0,2.0
2017-10,Xojo,4.0,3.0
2017-07,Xtend,92.0,24.0
2017-08,Xtend,40.0,15.0
2017-09,Xtend,59.0,17.0
2017-10,Xtend,43.0,19.0
2017-11,Xtend,54.0,13.0
2017-07,Yacc,46.0,17.0
2017-08,Yacc,50.0,17.0
2017-09,Yacc,59.0,25.0
2017-10,Yacc,119.0,37.0
2017-11,Yacc,154.0,43.0
2017-09,Zephir,3.0,1.0
2017-10,Zephir,1.0,1.0
2017-07,eC,1.0,1.0
2017-08,eC,1.0,1.0
2017-07,nesC,13.0,3.0
2017-08,nesC,2.0,2.0
2017-09,nesC,31.0,4.0
2017-10,nesC,52.0,3.0
2017-11,nesC,52.0,9.0
2017-07,ooc,2.0,1.0
2017-08,ooc,6.0,2.0
2017-09,ooc,7.0,3.0
2017-10,ooc,6.0,2.0
2017-11,ooc,1.0,1.0
2017-10,wdl,3.0,3.0
2017-11,wdl,7.0,5.0
2017-07,xBase,13.0,5.0
2017-08,xBase,1.0,1.0
2017-09,xBase,1.0,1.0
2017-10,xBase,11.0,4.0
2017-11,xBase,6.0,4.0
