language,cohort,number_prs,actor.display_login
Rust,2017-10,6157,1091
Rust,2017-11,5528,1021
SAS,2017-07,46,18
SAS,2017-08,46,9
SAS,2017-09,17,11
SAS,2017-10,31,12
SAS,2017-11,37,13
SMT,2017-07,31,8
SMT,2017-08,25,8
SMT,2017-09,68,7
SMT,2017-10,80,10
SMT,2017-11,89,10
SQF,2017-07,199,62
SQF,2017-08,206,59
SQF,2017-09,215,64
SQF,2017-10,288,88
SQF,2017-11,273,69
SQLPL,2017-07,69,32
SQLPL,2017-08,92,41
SQLPL,2017-09,132,40
SQLPL,2017-10,153,49
SQLPL,2017-11,119,54
SRecode Template,2017-07,5,1
SRecode Template,2017-08,30,7
SRecode Template,2017-09,11,4
SRecode Template,2017-10,5,2
SRecode Template,2017-11,1,1
SaltStack,2017-07,463,67
SaltStack,2017-08,423,94
SaltStack,2017-09,239,62
SaltStack,2017-10,350,76
SaltStack,2017-11,249,70
Scala,2017-07,8369,1610
Scala,2017-08,8702,1637
Scala,2017-09,8331,1634
Scala,2017-10,9196,1728
Scala,2017-11,9011,1715
Scheme,2017-07,127,53
Scheme,2017-08,138,56
Scheme,2017-09,114,44
Scheme,2017-10,131,62
Scheme,2017-11,106,44
Scilab,2017-07,20,3
Scilab,2017-08,27,3
Scilab,2017-09,28,6
Scilab,2017-10,49,12
Scilab,2017-11,95,18
Self,2017-09,1,1
Self,2017-10,1,1
ShaderLab,2017-07,33,13
ShaderLab,2017-08,19,13
ShaderLab,2017-09,23,12
ShaderLab,2017-10,29,15
ShaderLab,2017-11,96,28
Shell,2017-07,17987,5535
Shell,2017-08,18208,5726
Shell,2017-09,18144,5798
Shell,2017-10,20092,6632
Shell,2017-11,20561,6220
Shen,2017-10,64,2
Shen,2017-11,1,1
Slash,2017-07,1,1
Slash,2017-08,7,5
Slash,2017-09,7,3
Slash,2017-10,6,5
Slash,2017-11,2,2
Smali,2017-07,11,6
Smali,2017-08,16,10
Smali,2017-09,10,6
Smali,2017-10,2,2
Smali,2017-11,15,7
Smalltalk,2017-07,236,60
Smalltalk,2017-08,164,42
Smalltalk,2017-09,180,44
Smalltalk,2017-10,170,44
Smalltalk,2017-11,331,55
Smarty,2017-07,614,147
Smarty,2017-08,692,159
Smarty,2017-09,879,148
Smarty,2017-10,772,163
Smarty,2017-11,771,176
SourcePawn,2017-07,101,43
SourcePawn,2017-08,106,44
SourcePawn,2017-09,84,39
SourcePawn,2017-10,116,49
SourcePawn,2017-11,140,41
Squirrel,2017-07,10,2
Squirrel,2017-08,39,7
Squirrel,2017-09,14,7
Squirrel,2017-10,10,6
Squirrel,2017-11,19,4
Stan,2017-07,6,3
Stan,2017-08,10,5
Stan,2017-09,15,6
Stan,2017-10,14,7
Stan,2017-11,5,5
Standard ML,2017-07,120,29
Standard ML,2017-08,111,29
Standard ML,2017-09,156,34
Standard ML,2017-10,146,34
Standard ML,2017-11,138,39
Stata,2017-07,27,14
Stata,2017-08,28,10
Stata,2017-09,29,13
Stata,2017-10,34,19
Stata,2017-11,29,15
SuperCollider,2017-07,22,8
SuperCollider,2017-08,15,5
SuperCollider,2017-09,18,8
SuperCollider,2017-10,15,8
SuperCollider,2017-11,30,8
Swift,2017-07,7840,2035
Swift,2017-08,8139,1972
Swift,2017-09,7437,2233
Swift,2017-10,10383,2638
Swift,2017-11,9620,2439
SystemVerilog,2017-07,9,4
SystemVerilog,2017-08,17,10
SystemVerilog,2017-09,27,12
SystemVerilog,2017-10,47,18
SystemVerilog,2017-11,24,14
TI Program,2017-10,3,1
TLA,2017-07,1,1
TLA,2017-11,7,3
TXL,2017-11,6,1
Tcl,2017-07,200,50
Tcl,2017-08,170,48
Tcl,2017-09,199,49
Tcl,2017-10,288,65
Tcl,2017-11,233,70
TeX,2017-07,1583,581
TeX,2017-08,1576,571
TeX,2017-09,1748,648
TeX,2017-10,2538,848
TeX,2017-11,3033,836
Terra,2017-07,6,4
Terra,2017-08,6,3
Terra,2017-09,8,3
Terra,2017-10,8,6
Terra,2017-11,15,3
Thrift,2017-07,26,13
Thrift,2017-08,12,6
Thrift,2017-09,26,10
Thrift,2017-10,22,8
Thrift,2017-11,20,10
Turing,2017-09,2,1
Turing,2017-10,2,2
TypeScript,2017-07,22563,4145
TypeScript,2017-08,24809,4337
TypeScript,2017-09,25271,4529
TypeScript,2017-10,30753,5552
TypeScript,2017-11,32924,5891
Uno,2017-07,2,2
Uno,2017-08,1,1
Uno,2017-09,5,3
Uno,2017-10,2,2
UnrealScript,2017-07,8,3
UnrealScript,2017-08,13,6
UnrealScript,2017-09,29,8
UnrealScript,2017-10,34,10
UnrealScript,2017-11,35,13
UrWeb,2017-07,1,1
VCL,2017-10,17,4
VCL,2017-11,29,13
VHDL,2017-07,84,37
VHDL,2017-08,58,23
VHDL,2017-09,75,22
VHDL,2017-10,127,60
VHDL,2017-11,192,67
Vala,2017-07,331,51
Vala,2017-08,312,50
Vala,2017-09,269,59
Vala,2017-10,327,71
Vala,2017-11,318,57
Verilog,2017-07,117,39
Verilog,2017-08,45,27
Verilog,2017-09,79,39
Verilog,2017-10,199,75
Verilog,2017-11,269,87
Vim script,2017-07,980,353
Vim script,2017-08,997,361
Vim script,2017-09,914,343
Vim script,2017-10,1368,509
Vim script,2017-11,1053,368
VimL,2017-07,76,68
VimL,2017-08,72,64
VimL,2017-09,57,51
VimL,2017-10,81,77
VimL,2017-11,42,37
Visual Basic,2017-07,691,132
Visual Basic,2017-08,674,136
Visual Basic,2017-09,606,148
Visual Basic,2017-10,714,168
Visual Basic,2017-11,811,174
Volt,2017-08,1,1
Volt,2017-09,2,1
Volt,2017-10,1,1
Volt,2017-11,2,2
Vue,2017-07,2364,478
Vue,2017-08,2555,520
Vue,2017-09,2319,512
Vue,2017-10,2800,638
Vue,2017-11,3140,698
Web Ontology Language,2017-07,289,54
Web Ontology Language,2017-08,236,59
Web Ontology Language,2017-09,208,67
Web Ontology Language,2017-10,125,48
Web Ontology Language,2017-11,33,21
WebAssembly,2017-07,24,9
WebAssembly,2017-08,105,19
WebAssembly,2017-09,153,20
WebAssembly,2017-10,91,14
WebAssembly,2017-11,171,24
WebIDL,2017-08,1,1
WebIDL,2017-09,1,1
WebIDL,2017-10,1,1
X10,2017-09,1,1
X10,2017-11,1,1
XC,2017-07,66,12
XC,2017-08,19,8
XC,2017-09,56,13
XC,2017-10,58,13
XC,2017-11,50,8
XML,2017-11,2,2
XProc,2017-09,2,1
XProc,2017-10,6,1
XProc,2017-11,1,1
XQuery,2017-07,91,20
XQuery,2017-08,71,18
XQuery,2017-09,43,15
XQuery,2017-10,45,18
XQuery,2017-11,71,21
XS,2017-07,2,2
XS,2017-11,3,2
XSLT,2017-07,691,204
XSLT,2017-08,924,219
XSLT,2017-09,947,245
XSLT,2017-10,1134,272
XSLT,2017-11,892,228
Xojo,2017-07,2,1
Xojo,2017-08,1,1
Xojo,2017-09,4,2
Xojo,2017-10,4,3
Xtend,2017-07,92,24
Xtend,2017-08,40,15
Xtend,2017-09,59,17
Xtend,2017-10,43,19
Xtend,2017-11,54,13
Yacc,2017-07,46,17
Yacc,2017-08,50,17
Yacc,2017-09,59,25
Yacc,2017-10,119,37
Yacc,2017-11,154,43
Zephir,2017-09,3,1
Zephir,2017-10,1,1
eC,2017-07,1,1
eC,2017-08,1,1
nesC,2017-07,13,3
nesC,2017-08,2,2
nesC,2017-09,31,4
nesC,2017-10,52,3
nesC,2017-11,52,9
ooc,2017-07,2,1
ooc,2017-08,6,2
ooc,2017-09,7,3
ooc,2017-10,6,2
ooc,2017-11,1,1
wdl,2017-10,3,3
wdl,2017-11,7,5
xBase,2017-07,13,5
xBase,2017-08,1,1
xBase,2017-09,1,1
xBase,2017-10,11,4
xBase,2017-11,6,4
