language1,language2,common_actors,paradigm1,paradigm2
Assembly,HTML,6,machine,declarative
Assembly,Ruby,2,machine,oob
Assembly,PHP,1,machine,procedural
Assembly,C++,12,machine,procedural
Assembly,C#,0,machine,oob
Assembly,TypeScript,1,machine,oob
Assembly,CSS,3,machine,declarative
Assembly,Go,5,machine,multi
Assembly,C,25,machine,imperative
Assembly,Shell,7,machine,scripted
Assembly,Swift,0,machine,multi
Assembly,Scala,2,machine,multi
Assembly,PowerShell,0,machine,scripted
Assembly,Jupyter Notebook,0,machine,oob
Assembly,Rust,4,machine,multi
Assembly,Objective-C,0,machine,oob
Assembly,Kotlin,1,machine,oob
Assembly,R,1,machine,multi
Assembly,Lua,0,machine,multi
Assembly,Perl,0,machine,multi
Assembly,Julia,1,machine,multi
Assembly,Groovy,0,machine,functional
Assembly,Elixir,0,machine,functional
Assembly,CoffeeScript,0,machine,multi
Assembly,Haskell,1,machine,functional
Assembly,Clojure,0,machine,functional
Assembly,OCaml,2,machine,functional
Assembly,Matlab,0,machine,multi
Assembly,Nix,0,machine,declarative
Assembly,Vim script,1,machine,scripted
Assembly,Erlang,1,machine,functional
Assembly,Dart,2,machine,oob
Assembly,XSLT,0,machine,declarative
Assembly,Emacs Lisp,3,machine,scripted
Assembly,Visual Basic,0,machine,multi
Assembly,Arduino,1,machine,imperative
Assembly,PLpgSQL,0,machine,declarative
Assembly,D,1,machine,multi
Assembly,Assembly,170,machine,machine
Assembly,Fortran,0,machine,imperative
Assembly,F#,0,machine,multi
Assembly,Batchfile,0,machine,scripted
Assembly,Mathematica,0,machine,undefined
Assembly,Crystal,0,machine,oob
Assembly,Apex,0,machine,undefined
Assembly,Elm,0,machine,declarative
Assembly,Smalltalk,0,machine,oob
CoffeeScript,JavaScript,157,multi,oob
CoffeeScript,Java,21,multi,oob
CoffeeScript,Python,30,multi,oob
CoffeeScript,HTML,38,multi,declarative
CoffeeScript,Ruby,36,multi,oob
CoffeeScript,PHP,13,multi,procedural
CoffeeScript,C++,5,multi,procedural
CoffeeScript,C#,7,multi,oob
CoffeeScript,TypeScript,33,multi,oob
CoffeeScript,CSS,28,multi,declarative
CoffeeScript,Go,11,multi,multi
CoffeeScript,C,8,multi,imperative
CoffeeScript,Shell,16,multi,scripted
CoffeeScript,Swift,1,multi,multi
CoffeeScript,Scala,0,multi,multi
CoffeeScript,PowerShell,1,multi,scripted
CoffeeScript,Jupyter Notebook,2,multi,oob
CoffeeScript,Rust,3,multi,multi
CoffeeScript,Objective-C,3,multi,oob
CoffeeScript,Kotlin,1,multi,oob
CoffeeScript,R,1,multi,multi
CoffeeScript,Lua,2,multi,multi
CoffeeScript,Perl,0,multi,multi
CoffeeScript,Julia,4,multi,multi
CoffeeScript,Groovy,2,multi,functional
CoffeeScript,Elixir,3,multi,functional
CoffeeScript,CoffeeScript,528,multi,multi
CoffeeScript,Haskell,0,multi,functional
CoffeeScript,Clojure,0,multi,functional
CoffeeScript,OCaml,0,multi,functional
CoffeeScript,Matlab,1,multi,multi
CoffeeScript,Nix,1,multi,declarative
CoffeeScript,Vim script,2,multi,scripted
CoffeeScript,Erlang,0,multi,functional
CoffeeScript,Dart,0,multi,oob
CoffeeScript,XSLT,0,multi,declarative
CoffeeScript,Emacs Lisp,0,multi,scripted
CoffeeScript,Visual Basic,0,multi,multi
CoffeeScript,Arduino,1,multi,imperative
CoffeeScript,PLpgSQL,0,multi,declarative
CoffeeScript,D,0,multi,multi
CoffeeScript,Assembly,0,multi,machine
CoffeeScript,Fortran,0,multi,imperative
CoffeeScript,F#,1,multi,multi
CoffeeScript,Batchfile,1,multi,scripted
CoffeeScript,Mathematica,0,multi,undefined
CoffeeScript,Crystal,1,multi,oob
CoffeeScript,Apex,0,multi,undefined
CoffeeScript,Elm,1,multi,declarative
CoffeeScript,Smalltalk,0,multi,oob
D,JavaScript,1,multi,oob
D,Java,2,multi,oob
D,Python,6,multi,oob
D,HTML,4,multi,declarative
D,Ruby,3,multi,oob
D,PHP,0,multi,procedural
D,C++,4,multi,procedural
D,C#,2,multi,oob
D,TypeScript,1,multi,oob
D,CSS,7,multi,declarative
D,Go,2,multi,multi
D,C,3,multi,imperative
D,Shell,9,multi,scripted
D,Swift,0,multi,multi
D,Scala,0,multi,multi
D,PowerShell,0,multi,scripted
D,Jupyter Notebook,0,multi,oob
D,Rust,0,multi,multi
D,Objective-C,0,multi,oob
D,Kotlin,1,multi,oob
D,R,0,multi,multi
D,Lua,0,multi,multi
D,Perl,0,multi,multi
D,Julia,0,multi,multi
D,Groovy,0,multi,functional
D,Elixir,0,multi,functional
D,CoffeeScript,0,multi,multi
D,Haskell,0,multi,functional
D,Clojure,0,multi,functional
D,OCaml,0,multi,functional
D,Matlab,0,multi,multi
D,Nix,0,multi,declarative
D,Vim script,0,multi,scripted
D,Erlang,1,multi,functional
D,Dart,0,multi,oob
D,XSLT,0,multi,declarative
D,Emacs Lisp,1,multi,scripted
D,Visual Basic,0,multi,multi
D,Arduino,0,multi,imperative
D,PLpgSQL,0,multi,declarative
D,D,102,multi,multi
D,Assembly,1,multi,machine
D,Fortran,0,multi,imperative
D,F#,0,multi,multi
D,Batchfile,0,multi,scripted
D,Mathematica,0,multi,undefined
D,Crystal,0,multi,oob
D,Apex,0,multi,undefined
D,Elm,0,multi,declarative
D,Smalltalk,0,multi,oob
F#,JavaScript,8,multi,oob
F#,Java,2,multi,oob
F#,Python,3,multi,oob
F#,HTML,3,multi,declarative
F#,Ruby,3,multi,oob
F#,PHP,1,multi,procedural
F#,C++,2,multi,procedural
F#,C#,13,multi,oob
F#,TypeScript,6,multi,oob
F#,CSS,3,multi,declarative
F#,Go,0,multi,multi
F#,C,0,multi,imperative
F#,Shell,3,multi,scripted
F#,Swift,0,multi,multi
F#,Scala,2,multi,multi
F#,PowerShell,2,multi,scripted
F#,Jupyter Notebook,0,multi,oob
F#,Rust,1,multi,multi
F#,Objective-C,0,multi,oob
F#,Kotlin,0,multi,oob
F#,R,0,multi,multi
F#,Lua,0,multi,multi
F#,Perl,0,multi,multi
F#,Julia,0,multi,multi
F#,Groovy,0,multi,functional
F#,Elixir,0,multi,functional
F#,CoffeeScript,1,multi,multi
F#,Haskell,0,multi,functional
F#,Clojure,0,multi,functional
F#,OCaml,0,multi,functional
F#,Matlab,0,multi,multi
F#,Nix,0,multi,declarative
F#,Vim script,2,multi,scripted
F#,Erlang,0,multi,functional
F#,Dart,0,multi,oob
F#,XSLT,0,multi,declarative
F#,Emacs Lisp,0,multi,scripted
F#,Visual Basic,0,multi,multi
F#,Arduino,0,multi,imperative
F#,PLpgSQL,0,multi,declarative
F#,D,0,multi,multi
F#,Assembly,0,multi,machine
F#,Fortran,0,multi,imperative
F#,F#,121,multi,multi
F#,Batchfile,1,multi,scripted
F#,Mathematica,0,multi,undefined
F#,Crystal,0,multi,oob
F#,Apex,0,multi,undefined
F#,Elm,1,multi,declarative
F#,Smalltalk,0,multi,oob
Go,JavaScript,469,multi,oob
Go,Java,204,multi,oob
Go,Python,466,multi,oob
Go,HTML,245,multi,declarative
Go,Ruby,214,multi,oob
Go,PHP,89,multi,procedural
Go,C++,86,multi,procedural
Go,C#,46,multi,oob
Go,TypeScript,83,multi,oob
Go,CSS,129,multi,declarative
Go,Go,5719,multi,multi
Go,C,125,multi,imperative
Go,Shell,406,multi,scripted
Go,Swift,14,multi,multi
Go,Scala,36,multi,multi
Go,PowerShell,6,multi,scripted
Go,Jupyter Notebook,6,multi,oob
Go,Rust,39,multi,multi
Go,Objective-C,16,multi,oob
Go,Kotlin,13,multi,oob
Go,R,1,multi,multi
Go,Lua,13,multi,multi
Go,Perl,30,multi,multi
Go,Julia,0,multi,multi
Go,Groovy,33,multi,functional
Go,Elixir,8,multi,functional
Go,CoffeeScript,11,multi,multi
Go,Haskell,8,multi,functional
Go,Clojure,6,multi,functional
Go,OCaml,1,multi,functional
Go,Matlab,0,multi,multi
Go,Nix,3,multi,declarative
Go,Vim script,27,multi,scripted
Go,Erlang,3,multi,functional
Go,Dart,1,multi,oob
Go,XSLT,5,multi,declarative
Go,Emacs Lisp,9,multi,scripted
Go,Visual Basic,1,multi,multi
Go,Arduino,0,multi,imperative
Go,PLpgSQL,3,multi,declarative
Go,D,2,multi,multi
Go,Assembly,5,multi,machine
Go,Fortran,0,multi,imperative
Go,F#,0,multi,multi
Go,Batchfile,0,multi,scripted
Go,Mathematica,1,multi,undefined
Go,Crystal,3,multi,oob
Go,Apex,1,multi,undefined
Go,Elm,2,multi,declarative
Go,Smalltalk,0,multi,oob
Julia,JavaScript,11,multi,oob
Julia,Java,1,multi,oob
Julia,Python,14,multi,oob
Julia,HTML,4,multi,declarative
Julia,Ruby,2,multi,oob
Julia,PHP,1,multi,procedural
Julia,C++,6,multi,procedural
Julia,C#,0,multi,oob
Julia,TypeScript,4,multi,oob
Julia,CSS,2,multi,declarative
Julia,Go,0,multi,multi
Julia,C,9,multi,imperative
Julia,Shell,7,multi,scripted
Julia,Swift,0,multi,multi
Julia,Scala,0,multi,multi
Julia,PowerShell,0,multi,scripted
Julia,Jupyter Notebook,10,multi,oob
Julia,Rust,0,multi,multi
Julia,Objective-C,1,multi,oob
Julia,Kotlin,0,multi,oob
Julia,R,3,multi,multi
Julia,Lua,0,multi,multi
Julia,Perl,0,multi,multi
Julia,Julia,307,multi,multi
Julia,Groovy,0,multi,functional
Julia,Elixir,0,multi,functional
Julia,CoffeeScript,4,multi,multi
Julia,Haskell,0,multi,functional
Julia,Clojure,1,multi,functional
Julia,OCaml,0,multi,functional
Julia,Matlab,0,multi,multi
Julia,Nix,0,multi,declarative
Julia,Vim script,0,multi,scripted
Julia,Erlang,0,multi,functional
Julia,Dart,0,multi,oob
Julia,XSLT,0,multi,declarative
Julia,Emacs Lisp,1,multi,scripted
Julia,Visual Basic,0,multi,multi
Julia,Arduino,0,multi,imperative
Julia,PLpgSQL,0,multi,declarative
Julia,D,0,multi,multi
Julia,Assembly,1,multi,machine
Julia,Fortran,1,multi,imperative
Julia,F#,0,multi,multi
Julia,Batchfile,0,multi,scripted
Julia,Mathematica,0,multi,undefined
Julia,Crystal,0,multi,oob
Julia,Apex,0,multi,undefined
Julia,Elm,1,multi,declarative
Julia,Smalltalk,0,multi,oob
Lua,JavaScript,49,multi,oob
Lua,Java,12,multi,oob
Lua,Python,49,multi,oob
Lua,HTML,14,multi,declarative
Lua,Ruby,13,multi,oob
Lua,PHP,11,multi,procedural
Lua,C++,46,multi,procedural
Lua,C#,10,multi,oob
Lua,TypeScript,4,multi,oob
Lua,CSS,10,multi,declarative
Lua,Go,13,multi,multi
Lua,C,34,multi,imperative
Lua,Shell,28,multi,scripted
Lua,Swift,2,multi,multi
Lua,Scala,4,multi,multi
Lua,PowerShell,2,multi,scripted
Lua,Jupyter Notebook,2,multi,oob
Lua,Rust,7,multi,multi
Lua,Objective-C,3,multi,oob
Lua,Kotlin,1,multi,oob
Lua,R,0,multi,multi
Lua,Lua,737,multi,multi
Lua,Perl,7,multi,multi
Lua,Julia,0,multi,multi
Lua,Groovy,1,multi,functional
Lua,Elixir,1,multi,functional
Lua,CoffeeScript,2,multi,multi
Lua,Haskell,0,multi,functional
Lua,Clojure,0,multi,functional
Lua,OCaml,0,multi,functional
Lua,Matlab,1,multi,multi
Lua,Nix,1,multi,declarative
Lua,Vim script,3,multi,scripted
Lua,Erlang,0,multi,functional
Lua,Dart,0,multi,oob
Lua,XSLT,1,multi,declarative
Lua,Emacs Lisp,0,multi,scripted
Lua,Visual Basic,0,multi,multi
Lua,Arduino,0,multi,imperative
Lua,PLpgSQL,1,multi,declarative
Lua,D,0,multi,multi
Lua,Assembly,0,multi,machine
Lua,Fortran,0,multi,imperative
Lua,F#,0,multi,multi
Lua,Batchfile,0,multi,scripted
Lua,Mathematica,0,multi,undefined
Lua,Crystal,0,multi,oob
Lua,Apex,0,multi,undefined
Lua,Elm,0,multi,declarative
Lua,Smalltalk,0,multi,oob
Matlab,JavaScript,10,multi,oob
Matlab,Java,13,multi,oob
Matlab,Python,40,multi,oob
Matlab,HTML,16,multi,declarative
Matlab,Ruby,0,multi,oob
Matlab,PHP,2,multi,procedural
Matlab,C++,10,multi,procedural
Matlab,C#,6,multi,oob
Matlab,TypeScript,0,multi,oob
Matlab,CSS,4,multi,declarative
Matlab,Go,0,multi,multi
Matlab,C,4,multi,imperative
Matlab,Shell,6,multi,scripted
Matlab,Swift,0,multi,multi
Matlab,Scala,0,multi,multi
Matlab,PowerShell,0,multi,scripted
Matlab,Jupyter Notebook,14,multi,oob
Matlab,Rust,0,multi,multi
Matlab,Objective-C,2,multi,oob
Matlab,Kotlin,0,multi,oob
Matlab,R,3,multi,multi
Matlab,Lua,1,multi,multi
Matlab,Perl,1,multi,multi
Matlab,Julia,0,multi,multi
Matlab,Groovy,0,multi,functional
Matlab,Elixir,0,multi,functional
Matlab,CoffeeScript,1,multi,multi
Matlab,Haskell,0,multi,functional
Matlab,Clojure,0,multi,functional
Matlab,OCaml,0,multi,functional
Matlab,Matlab,490,multi,multi
Matlab,Nix,0,multi,declarative
Matlab,Vim script,0,multi,scripted
Matlab,Erlang,0,multi,functional
Matlab,Dart,0,multi,oob
Matlab,XSLT,0,multi,declarative
Matlab,Emacs Lisp,0,multi,scripted
Matlab,Visual Basic,0,multi,multi
Matlab,Arduino,1,multi,imperative
Matlab,PLpgSQL,0,multi,declarative
Matlab,D,0,multi,multi
Matlab,Assembly,0,multi,machine
Matlab,Fortran,0,multi,imperative
Matlab,F#,0,multi,multi
Matlab,Batchfile,0,multi,scripted
Matlab,Mathematica,0,multi,undefined
Matlab,Crystal,0,multi,oob
Matlab,Apex,0,multi,undefined
Matlab,Elm,0,multi,declarative
Matlab,Smalltalk,0,multi,oob
Perl,JavaScript,55,multi,oob
Perl,Java,32,multi,oob
Perl,Python,82,multi,oob
Perl,HTML,33,multi,declarative
Perl,Ruby,35,multi,oob
Perl,PHP,23,multi,procedural
Perl,C++,28,multi,procedural
Perl,C#,5,multi,oob
Perl,TypeScript,1,multi,oob
Perl,CSS,15,multi,declarative
Perl,Go,30,multi,multi
Perl,C,49,multi,imperative
Perl,Shell,67,multi,scripted
Perl,Swift,0,multi,multi
Perl,Scala,0,multi,multi
Perl,PowerShell,1,multi,scripted
Perl,Jupyter Notebook,2,multi,oob
Perl,Rust,4,multi,multi
Perl,Objective-C,0,multi,oob
Perl,Kotlin,0,multi,oob
Perl,R,1,multi,multi
Perl,Lua,7,multi,multi
Perl,Perl,761,multi,multi
Perl,Julia,0,multi,multi
Perl,Groovy,4,multi,functional
Perl,Elixir,1,multi,functional
Perl,CoffeeScript,0,multi,multi
Perl,Haskell,1,multi,functional
Perl,Clojure,1,multi,functional
Perl,OCaml,0,multi,functional
Perl,Matlab,1,multi,multi
Perl,Nix,1,multi,declarative
Perl,Vim script,3,multi,scripted
Perl,Erlang,1,multi,functional
Perl,Dart,0,multi,oob
Perl,XSLT,0,multi,declarative
Perl,Emacs Lisp,1,multi,scripted
Perl,Visual Basic,0,multi,multi
Perl,Arduino,0,multi,imperative
Perl,PLpgSQL,3,multi,declarative
Perl,D,0,multi,multi
Perl,Assembly,0,multi,machine
Perl,Fortran,0,multi,imperative
Perl,F#,0,multi,multi
Perl,Batchfile,2,multi,scripted
Perl,Mathematica,0,multi,undefined
Perl,Crystal,0,multi,oob
Perl,Apex,0,multi,undefined
Perl,Elm,0,multi,declarative
Perl,Smalltalk,0,multi,oob
R,JavaScript,35,multi,oob
R,Java,17,multi,oob
R,Python,53,multi,oob
R,HTML,79,multi,declarative
R,Ruby,12,multi,oob
R,PHP,6,multi,procedural
R,C++,20,multi,procedural
R,C#,1,multi,oob
R,TypeScript,2,multi,oob
R,CSS,21,multi,declarative
R,Go,1,multi,multi
R,C,14,multi,imperative
R,Shell,19,multi,scripted
R,Swift,0,multi,multi
R,Scala,1,multi,multi
R,PowerShell,0,multi,scripted
R,Jupyter Notebook,20,multi,oob
R,Rust,1,multi,multi
R,Objective-C,0,multi,oob
R,Kotlin,1,multi,oob
R,R,1144,multi,multi
R,Lua,0,multi,multi
R,Perl,1,multi,multi
R,Julia,3,multi,multi
R,Groovy,0,multi,functional
R,Elixir,0,multi,functional
R,CoffeeScript,1,multi,multi
R,Haskell,0,multi,functional
R,Clojure,0,multi,functional
R,OCaml,3,multi,functional
R,Matlab,3,multi,multi
R,Nix,0,multi,declarative
R,Vim script,0,multi,scripted
R,Erlang,0,multi,functional
R,Dart,0,multi,oob
R,XSLT,1,multi,declarative
R,Emacs Lisp,3,multi,scripted
R,Visual Basic,0,multi,multi
R,Arduino,0,multi,imperative
R,PLpgSQL,1,multi,declarative
R,D,0,multi,multi
R,Assembly,1,multi,machine
R,Fortran,2,multi,imperative
R,F#,0,multi,multi
R,Batchfile,0,multi,scripted
R,Mathematica,0,multi,undefined
R,Crystal,0,multi,oob
R,Apex,0,multi,undefined
R,Elm,0,multi,declarative
R,Smalltalk,0,multi,oob
Rust,JavaScript,78,multi,oob
Rust,Java,17,multi,oob
Rust,Python,78,multi,oob
Rust,HTML,41,multi,declarative
Rust,Ruby,37,multi,oob
Rust,PHP,9,multi,procedural
Rust,C++,34,multi,procedural
Rust,C#,10,multi,oob
Rust,TypeScript,12,multi,oob
Rust,CSS,34,multi,declarative
Rust,Go,39,multi,multi
Rust,C,45,multi,imperative
Rust,Shell,51,multi,scripted
Rust,Swift,5,multi,multi
Rust,Scala,4,multi,multi
Rust,PowerShell,3,multi,scripted
Rust,Jupyter Notebook,4,multi,oob
Rust,Rust,1022,multi,multi
Rust,Objective-C,4,multi,oob
Rust,Kotlin,5,multi,oob
Rust,R,1,multi,multi
Rust,Lua,7,multi,multi
Rust,Perl,4,multi,multi
Rust,Julia,0,multi,multi
Rust,Groovy,4,multi,functional
Rust,Elixir,4,multi,functional
Rust,CoffeeScript,3,multi,multi
Rust,Haskell,5,multi,functional
Rust,Clojure,4,multi,functional
Rust,OCaml,3,multi,functional
Rust,Matlab,0,multi,multi
Rust,Nix,6,multi,declarative
Rust,Vim script,2,multi,scripted
Rust,Erlang,2,multi,functional
Rust,Dart,1,multi,oob
Rust,XSLT,3,multi,declarative
Rust,Emacs Lisp,4,multi,scripted
Rust,Visual Basic,0,multi,multi
Rust,Arduino,1,multi,imperative
Rust,PLpgSQL,0,multi,declarative
Rust,D,0,multi,multi
Rust,Assembly,4,multi,machine
Rust,Fortran,0,multi,imperative
Rust,F#,1,multi,multi
Rust,Batchfile,1,multi,scripted
Rust,Mathematica,0,multi,undefined
Rust,Crystal,0,multi,oob
Rust,Apex,0,multi,undefined
Rust,Elm,4,multi,declarative
Rust,Smalltalk,0,multi,oob
Scala,JavaScript,127,multi,oob
Scala,Java,142,multi,oob
Scala,Python,77,multi,oob
Scala,HTML,75,multi,declarative
Scala,Ruby,32,multi,oob
Scala,PHP,7,multi,procedural
Scala,C++,20,multi,procedural
Scala,C#,10,multi,oob
Scala,TypeScript,29,multi,oob
Scala,CSS,50,multi,declarative
Scala,Go,36,multi,multi
Scala,C,14,multi,imperative
Scala,Shell,68,multi,scripted
Scala,Swift,3,multi,multi
Scala,Scala,1715,multi,multi
Scala,PowerShell,1,multi,scripted
Scala,Jupyter Notebook,11,multi,oob
Scala,Rust,4,multi,multi
Scala,Objective-C,0,multi,oob
Scala,Kotlin,6,multi,oob
Scala,R,1,multi,multi
Scala,Lua,4,multi,multi
Scala,Perl,0,multi,multi
Scala,Julia,0,multi,multi
Scala,Groovy,21,multi,functional
Scala,Elixir,2,multi,functional
Scala,CoffeeScript,0,multi,multi
Scala,Haskell,6,multi,functional
Scala,Clojure,17,multi,functional
Scala,OCaml,0,multi,functional
Scala,Matlab,0,multi,multi
Scala,Nix,1,multi,declarative
Scala,Vim script,0,multi,scripted
Scala,Erlang,2,multi,functional
Scala,Dart,1,multi,oob
Scala,XSLT,8,multi,declarative
Scala,Emacs Lisp,3,multi,scripted
Scala,Visual Basic,0,multi,multi
Scala,Arduino,0,multi,imperative
Scala,PLpgSQL,2,multi,declarative
Scala,D,0,multi,multi
Scala,Assembly,2,multi,machine
Scala,Fortran,0,multi,imperative
Scala,F#,2,multi,multi
Scala,Batchfile,0,multi,scripted
Scala,Mathematica,0,multi,undefined
Scala,Crystal,0,multi,oob
Scala,Apex,0,multi,undefined
Scala,Elm,1,multi,declarative
Scala,Smalltalk,3,multi,oob
Swift,JavaScript,128,multi,oob
Swift,Java,94,multi,oob
Swift,Python,42,multi,oob
Swift,HTML,43,multi,declarative
Swift,Ruby,61,multi,oob
Swift,PHP,26,multi,procedural
Swift,C++,32,multi,procedural
Swift,C#,14,multi,oob
Swift,TypeScript,23,multi,oob
Swift,CSS,33,multi,declarative
Swift,Go,14,multi,multi
Swift,C,30,multi,imperative
Swift,Shell,24,multi,scripted
Swift,Swift,2435,multi,multi
Swift,Scala,3,multi,multi
Swift,PowerShell,0,multi,scripted
Swift,Jupyter Notebook,7,multi,oob
Swift,Rust,5,multi,multi
Swift,Objective-C,130,multi,oob
Swift,Kotlin,16,multi,oob
Swift,R,0,multi,multi
Swift,Lua,2,multi,multi
Swift,Perl,0,multi,multi
Swift,Julia,0,multi,multi
Swift,Groovy,2,multi,functional
Swift,Elixir,2,multi,functional
Swift,CoffeeScript,1,multi,multi
Swift,Haskell,3,multi,functional
Swift,Clojure,0,multi,functional
Swift,OCaml,0,multi,functional
Swift,Matlab,0,multi,multi
Swift,Nix,0,multi,declarative
Swift,Vim script,3,multi,scripted
Swift,Erlang,1,multi,functional
Swift,Dart,0,multi,oob
Swift,XSLT,1,multi,declarative
Swift,Emacs Lisp,1,multi,scripted
Swift,Visual Basic,0,multi,multi
Swift,Arduino,2,multi,imperative
Swift,PLpgSQL,0,multi,declarative
Swift,D,0,multi,multi
Swift,Assembly,0,multi,machine
Swift,Fortran,0,multi,imperative
Swift,F#,0,multi,multi
Swift,Batchfile,0,multi,scripted
Swift,Mathematica,0,multi,undefined
Swift,Crystal,0,multi,oob
Swift,Apex,0,multi,undefined
Swift,Elm,0,multi,declarative
Swift,Smalltalk,0,multi,oob
Visual Basic,JavaScript,7,multi,oob
Visual Basic,Java,2,multi,oob
Visual Basic,Python,5,multi,oob
Visual Basic,HTML,5,multi,declarative
Visual Basic,Ruby,3,multi,oob
Visual Basic,PHP,3,multi,procedural
Visual Basic,C++,4,multi,procedural
Visual Basic,C#,11,multi,oob
Visual Basic,TypeScript,2,multi,oob
Visual Basic,CSS,1,multi,declarative
Visual Basic,Go,1,multi,multi
Visual Basic,C,0,multi,imperative
Visual Basic,Shell,4,multi,scripted
Visual Basic,Swift,0,multi,multi
Visual Basic,Scala,0,multi,multi
Visual Basic,PowerShell,3,multi,scripted
Visual Basic,Jupyter Notebook,0,multi,oob
Visual Basic,Rust,0,multi,multi
Visual Basic,Objective-C,0,multi,oob
Visual Basic,Kotlin,0,multi,oob
Visual Basic,R,0,multi,multi
Visual Basic,Lua,0,multi,multi
Visual Basic,Perl,0,multi,multi
Visual Basic,Julia,0,multi,multi
Visual Basic,Groovy,1,multi,functional
Visual Basic,Elixir,0,multi,functional
Visual Basic,CoffeeScript,0,multi,multi
Visual Basic,Haskell,0,multi,functional
Visual Basic,Clojure,0,multi,functional
Visual Basic,OCaml,0,multi,functional
Visual Basic,Matlab,0,multi,multi
Visual Basic,Nix,0,multi,declarative
Visual Basic,Vim script,0,multi,scripted
Visual Basic,Erlang,0,multi,functional
Visual Basic,Dart,0,multi,oob
Visual Basic,XSLT,0,multi,declarative
Visual Basic,Emacs Lisp,0,multi,scripted
Visual Basic,Visual Basic,173,multi,multi
Visual Basic,Arduino,0,multi,imperative
Visual Basic,PLpgSQL,1,multi,declarative
Visual Basic,D,0,multi,multi
Visual Basic,Assembly,0,multi,machine
Visual Basic,Fortran,0,multi,imperative
Visual Basic,F#,0,multi,multi
Visual Basic,Batchfile,1,multi,scripted
Visual Basic,Mathematica,0,multi,undefined
Visual Basic,Crystal,0,multi,oob
Visual Basic,Apex,0,multi,undefined
Visual Basic,Elm,0,multi,declarative
Visual Basic,Smalltalk,0,multi,oob
C#,JavaScript,440,oob,oob
C#,Java,227,oob,oob
C#,Python,159,oob,oob
C#,HTML,170,oob,declarative
C#,Ruby,67,oob,oob
C#,PHP,104,oob,procedural
C#,C++,136,oob,procedural
C#,C#,7792,oob,oob
C#,TypeScript,159,oob,oob
C#,CSS,115,oob,declarative
C#,Go,46,oob,multi
C#,C,67,oob,imperative
C#,Shell,49,oob,scripted
C#,Swift,14,oob,multi
C#,Scala,10,oob,multi
C#,PowerShell,74,oob,scripted
C#,Jupyter Notebook,12,oob,oob
C#,Rust,10,oob,multi
C#,Objective-C,32,oob,oob
C#,Kotlin,8,oob,oob
C#,R,1,oob,multi
C#,Lua,10,oob,multi
C#,Perl,5,oob,multi
C#,Julia,0,oob,multi
C#,Groovy,8,oob,functional
C#,Elixir,10,oob,functional
C#,CoffeeScript,7,oob,multi
C#,Haskell,1,oob,functional
C#,Clojure,1,oob,functional
C#,OCaml,2,oob,functional
C#,Matlab,6,oob,multi
C#,Nix,0,oob,declarative
C#,Vim script,2,oob,scripted
C#,Erlang,2,oob,functional
C#,Dart,0,oob,oob
C#,XSLT,0,oob,declarative
C#,Emacs Lisp,0,oob,scripted
C#,Visual Basic,11,oob,multi
C#,Arduino,2,oob,imperative
C#,PLpgSQL,3,oob,declarative
C#,D,2,oob,multi
C#,Assembly,0,oob,machine
C#,Fortran,0,oob,imperative
C#,F#,13,oob,multi
C#,Batchfile,3,oob,scripted
C#,Mathematica,17,oob,undefined
C#,Crystal,1,oob,oob
C#,Apex,0,oob,undefined
C#,Elm,0,oob,declarative
C#,Smalltalk,2,oob,oob
Crystal,JavaScript,1,oob,oob
Crystal,Java,1,oob,oob
Crystal,Python,3,oob,oob
Crystal,HTML,2,oob,declarative
Crystal,Ruby,14,oob,oob
Crystal,PHP,2,oob,procedural
Crystal,C++,0,oob,procedural
Crystal,C#,1,oob,oob
Crystal,TypeScript,1,oob,oob
Crystal,CSS,4,oob,declarative
Crystal,Go,3,oob,multi
Crystal,C,1,oob,imperative
Crystal,Shell,3,oob,scripted
Crystal,Swift,0,oob,multi
Crystal,Scala,0,oob,multi
Crystal,PowerShell,0,oob,scripted
Crystal,Jupyter Notebook,0,oob,oob
Crystal,Rust,0,oob,multi
Crystal,Objective-C,1,oob,oob
Crystal,Kotlin,0,oob,oob
Crystal,R,0,oob,multi
Crystal,Lua,0,oob,multi
Crystal,Perl,0,oob,multi
Crystal,Julia,0,oob,multi
Crystal,Groovy,0,oob,functional
Crystal,Elixir,3,oob,functional
Crystal,CoffeeScript,1,oob,multi
Crystal,Haskell,0,oob,functional
Crystal,Clojure,0,oob,functional
Crystal,OCaml,0,oob,functional
Crystal,Matlab,0,oob,multi
Crystal,Nix,0,oob,declarative
Crystal,Vim script,0,oob,scripted
Crystal,Erlang,0,oob,functional
Crystal,Dart,0,oob,oob
Crystal,XSLT,0,oob,declarative
Crystal,Emacs Lisp,0,oob,scripted
Crystal,Visual Basic,0,oob,multi
Crystal,Arduino,0,oob,imperative
Crystal,PLpgSQL,0,oob,declarative
Crystal,D,0,oob,multi
Crystal,Assembly,0,oob,machine
Crystal,Fortran,0,oob,imperative
Crystal,F#,0,oob,multi
Crystal,Batchfile,0,oob,scripted
Crystal,Mathematica,0,oob,undefined
Crystal,Crystal,69,oob,oob
Crystal,Apex,0,oob,undefined
Crystal,Elm,0,oob,declarative
Crystal,Smalltalk,0,oob,oob
Dart,JavaScript,10,oob,oob
Dart,Java,11,oob,oob
Dart,Python,4,oob,oob
Dart,HTML,7,oob,declarative
Dart,Ruby,3,oob,oob
Dart,PHP,2,oob,procedural
Dart,C++,18,oob,procedural
